Station,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H00,H01
Borough,23,113,294,617,549,368,361,396,419,431,587,935,1415,1172,579,369,296,262,179,58,0
Boston Manor,65,179,483,786,374,184,146,141,140,124,194,255,331,217,100,62,42,31,20,6,2
Bounds Green,213,885,1540,2053,1268,597,459,393,362,327,351,400,484,455,285,167,112,91,66,23,5
Bow Road,98,380,987,1989,1040,457,377,331,329,344,457,483,504,422,268,159,128,109,73,25,4
Brent Cross,45,263,433,707,356,204,167,173,182,174,195,224,269,228,138,117,63,47,26,9,2
Brixton,587,2351,6019,10760,6020,2301,1793,1668,1618,1536,1615,2187,2675,2180,1400,945,861,1826,1723,335,94
Bromley-by-Bow,78,244,585,1068,549,289,239,216,227,254,356,553,570,393,239,140,91,65,54,17,0
Buckhurst Hill,75,305,770,905,315,157,125,117,107,100,108,145,179,129,65,48,34,28,20,6,2
Burnt Oak,252,1073,1240,1324,618,327,269,274,266,219,244,282,389,232,143,103,82,55,21,11,2
Caledonian Road,41,229,641,1226,870,514,409,415,416,407,472,673,917,694,366,239,219,221,108,38,7
Camden Town,40,304,834,1439,1107,799,931,1286,1651,1945,2262,2881,3701,3628,1876,1218,1081,1473,1607,706,139
Canada Water,222,859,2231,4237,2601,1079,858,816,813,757,811,1108,1357,1192,781,527,405,353,312,123,27
Canary Wharf,197,861,1958,3529,2441,1657,1874,2335,2440,2841,4230,9187,18118,15719,8490,4334,2535,1775,1136,350,45
Canning Town,658,2025,2869,3087,1798,974,803,713,700,696,776,1030,1335,1096,622,418,324,237,145,55,19
Cannon Street,42,485,1594,2719,2053,821,619,685,647,635,730,1129,2264,1993,1011,516,337,257,176,45,0
Canons Park,119,476,910,1038,431,223,172,147,138,126,152,242,254,197,115,68,43,33,17,6,2
Chalfont & Latimer,47,297,731,469,158,90,72,72,55,50,233,129,166,88,47,20,18,30,11,0,0
Chalk Farm,28,176,541,1107,712,372,335,345,353,354,436,588,794,782,422,270,262,531,461,77,14
Chancery Lane,26,122,261,579,716,692,952,1438,1564,1602,2084,3614,5687,4934,2568,1501,1084,775,512,183,44
Charing Cross,82,528,1505,2498,1726,1061,1008,1187,1325,1462,1750,2338,3383,2943,1716,1308,1339,1727,943,265,27
Chesham,72,319,609,314,100,66,58,51,49,50,138,153,102,48,22,15,12,9,4,0,0
Chigwell,6,77,249,268,44,32,25,24,25,22,70,90,53,20,12,6,5,6,4,2,0
Chiswick Park,23,105,395,510,220,126,123,122,122,129,159,271,437,300,139,77,56,46,27,7,0
Chorleywood,15,131,323,235,86,58,50,34,33,32,117,137,74,38,23,11,8,9,7,0,0
Clapham Common,112,665,1876,2456,1503,631,524,542,519,487,565,738,1053,924,597,449,395,402,365,149,46
Clapham North,60,462,1449,1509,1057,445,339,315,302,297,316,447,646,640,429,271,228,214,194,68,23
Clapham South,109,756,2551,3146,1527,603,456,423,379,345,445,588,665,605,407,255,164,136,104,43,11
Cockfosters,59,196,363,456,258,188,151,137,121,113,129,171,210,135,68,43,35,36,16,5,3
Colindale,172,843,1523,2155,989,549,445,441,479,529,617,769,882,540,275,181,156,123,66,22,6
Colliers Wood,193,825,1858,2334,1046,485,399,374,347,335,369,437,537,451,291,186,136,101,65,22,7
Covent Garden,11,39,120,245,327,378,543,778,1018,1312,1590,1932,2487,2507,1776,1459,1492,2471,1230,600,45
Croxley,28,190,499,391,115,55,47,46,37,36,159,154,109,61,22,14,8,9,6,2,0
Dagenham East,266,745,890,732,367,213,184,176,165,166,236,253,250,170,94,74,55,47,17,3,0
Dagenham Heathway,537,1505,1515,1256,715,457,396,388,352,347,427,496,489,356,225,144,104,80,52,30,0
Debden,99,363,709,673,257,157,134,188,185,153,315,353,406,206,86,55,43,25,15,3,0
Dollis Hill,124,434,897,1153,598,348,296,281,281,307,383,438,507,373,237,145,109,68,41,19,2
Ealing Broadway,359,1676,3911,4926,2286,1195,1049,1037,1035,1024,1162,1778,2307,1694,925,565,414,337,210,42,10
Ealing Common,53,256,669,875,411,220,182,174,180,178,261,337,413,317,178,106,78,66,35,13,2
Earl's Court,160,589,1841,3582,2619,1865,1432,1288,1258,1378,1752,2244,2893,2458,1529,982,731,680,582,216,29
East Acton,73,317,683,974,528,320,294,274,265,291,362,546,653,378,217,164,89,65,37,14,2
East Finchley,88,534,1680,2754,1546,659,514,467,418,372,445,588,713,532,279,156,123,106,77,21,3
East Ham,926,3291,3243,3344,2036,1145,949,868,911,910,950,1079,1176,885,587,418,320,193,94,16,2
East Putney,54,408,1683,2181,888,438,349,337,319,283,355,522,765,628,348,188,131,95,67,21,0
Eastcote,85,421,1002,1075,464,260,221,200,174,167,195,215,248,190,102,50,37,35,21,4,0
Edgware,135,657,1294,1679,824,453,375,361,347,330,349,437,483,389,228,143,98,76,40,9,3
Edgware Road (Bak),13,67,189,373,323,254,269,331,341,372,500,761,1271,957,452,278,223,176,125,33,0
Edgware Road (Cir),52,143,500,949,658,492,475,525,540,577,720,1049,1729,1400,709,465,349,279,198,65,0
Elephant & Castle,176,961,2532,4412,3162,1636,1426,1563,1601,1640,2248,3403,3902,2758,1630,1192,1003,841,620,156,0
Elm Park,240,773,1382,1328,433,231,173,151,135,112,129,155,172,132,65,42,33,25,17,0,0
Embankment,60,341,1200,1882,1336,952,947,1221,1360,1546,1944,2790,4359,4082,2341,1696,1993,2600,1484,407,33
Epping,246,944,1556,1025,346,227,230,178,158,157,190,266,313,193,92,49,35,30,22,6,2
Euston,93,1131,4350,6444,4847,3316,2941,3376,3182,3041,3396,4466,6222,5952,3889,3077,2440,1619,954,323,47
Euston Square,36,262,1139,2158,1404,712,708,887,992,1022,1405,2385,3759,2975,1632,1195,902,532,315,96,0
Fairlop,72,269,443,439,148,67,61,55,60,47,84,85,90,61,37,29,26,19,6,0,0
Farringdon,42,129,306,559,604,608,755,1047,1244,1352,1881,3966,8465,7584,3217,1672,1173,969,810,259,7
Finchley Central,92,560,1857,2461,1217,576,481,448,438,385,472,660,934,707,336,185,155,121,82,41,3
Finchley Road,75,342,1193,2274,1300,703,593,619,646,634,771,1181,1418,1301,821,489,378,304,245,98,6
Finsbury Park,464,2119,6084,9404,5843,2578,2001,1951,1878,1799,1902,2522,3462,3163,1846,1187,1213,1166,747,260,59
Fulham Broadway,29,236,1061,1664,891,578,593,660,699,739,1136,1233,1591,1305,758,494,377,438,536,125,2
Gants Hill,348,1144,1837,2398,1113,560,437,397,386,329,361,411,472,360,219,168,133,79,51,16,6
Gloucester Road,54,320,1064,2018,1601,1234,1056,1018,999,1028,1345,1890,2306,1923,1176,834,582,548,471,152,12
Golders Green,102,453,1228,2243,1364,766,634,625,629,595,689,792,958,799,495,310,241,193,108,41,7
Goldhawk Road,19,106,372,668,367,176,149,156,165,152,162,206,224,199,126,68,54,59,53,13,0
Goodge Street,5,33,74,142,162,248,330,460,586,657,883,1320,2175,2154,1215,852,703,474,336,103,11
Grange Hill,17,150,352,317,76,47,34,31,28,29,26,39,42,21,14,9,4,4,2,0,0
Great Portland Street,23,74,244,551,479,402,445,540,587,644,993,1677,2674,2355,1039,610,450,333,237,73,0
Green Park,90,240,496,763,955,1187,1770,2336,2378,2934,4047,5594,9473,9416,5047,3138,2674,2760,2226,999,143
Greenford,214,996,1328,1158,590,327,267,247,245,246,262,406,497,361,197,119,80,74,24,5,0
Gunnersbury,33,306,744,904,453,263,282,311,299,298,464,1024,2134,1569,578,272,170,119,63,5,0
Hainault,345,1017,1352,1236,445,255,207,178,157,154,177,221,238,159,95,64,45,35,22,6,3
Hammersmith (Dis),181,730,2150,3779,2485,1700,1693,1833,1881,1955,2726,4176,6172,5312,2713,1686,1274,2252,1648,268,40
Hammersmith (H&C),84,342,1354,2406,1475,782,724,785,818,787,1021,1442,1943,1619,854,490,360,419,313,66,0
Hampstead,17,116,450,943,628,318,284,303,316,321,452,732,684,551,313,194,156,164,168,45,5
Hanger Lane,96,413,852,936,492,258,217,201,197,203,241,416,861,634,223,113,91,58,39,8,0
Harlesden,60,262,526,640,325,193,167,179,195,237,350,487,692,460,192,127,98,77,68,10,0
Harrow & Wealdstone,217,888,1343,1429,699,375,319,306,311,298,377,501,597,404,219,134,95,67,23,6,0
Harrow-on-the-Hill,180,1170,2191,2522,1242,705,672,688,706,743,860,1168,1428,1084,563,334,247,174,115,38,6
Hatton Cross,184,346,566,496,299,218,200,209,208,219,269,425,560,378,173,81,64,78,40,13,3
Heathrow Terminals 123,144,243,545,666,622,634,608,659,752,751,696,758,829,701,768,608,617,569,191,15,2
Heathrow Terminal 4,30,87,217,179,132,124,139,164,222,233,196,260,251,235,229,186,187,121,51,2,0
Heathrow Terminal 5,133,199,300,354,292,279,313,382,432,529,401,434,487,414,362,406,462,378,94,9,1
Hendon Central,156,814,1342,1728,988,601,535,558,593,624,812,993,1159,915,537,305,222,171,103,33,6
High Barnet,86,434,1227,1577,640,334,277,271,237,241,339,501,463,296,145,94,68,57,38,10,2
High Street Kensington,31,149,492,921,776,719,847,1020,1106,1207,1564,2160,2837,2493,1335,829,594,543,370,86,0
Highbury & Islington,132,651,2050,3715,2534,1190,999,1080,1121,1153,1554,2548,3233,2849,1613,1067,921,1345,945,245,52
Highgate,40,356,1365,2343,1384,524,402,359,333,288,317,476,527,412,228,132,103,102,66,21,6
Hillingdon,64,269,657,583,231,134,104,105,91,86,220,177,177,139,78,37,23,19,8,2,0
Holborn,44,153,301,501,654,1088,1508,2322,2623,2891,3771,5684,7319,6500,4200,3347,2856,2671,1634,717,127
Holland Park,14,105,384,831,564,276,238,247,234,239,356,593,744,495,246,148,126,130,99,31,6
Holloway Road,39,210,664,1398,997,535,461,565,599,517,616,933,989,665,422,392,264,188,192,57,11
Hornchurch,144,454,896,782,215,126,103,108,95,93,133,165,165,98,50,38,28,28,19,4,0
Hounslow Central,216,621,856,913,473,283,248,263,259,221,288,366,437,298,147,88,63,42,20,4,0
Hounslow East,220,625,883,929,520,296,254,265,257,209,230,310,333,261,146,102,78,52,27,9,2
Hounslow West,259,538,850,862,435,298,249,271,248,190,202,231,266,190,120,80,72,50,26,11,4
Hyde Park Corner,11,30,77,121,159,187,273,377,386,430,567,840,1074,861,538,437,433,435,222,78,5
Ickenham,32,163,365,317,144,93,75,66,61,58,146,146,99,74,36,17,17,20,9,3,0
Kennington,54,291,821,1647,1006,432,325,314,307,303,363,517,670,600,369,233,195,177,118,51,13
Kensal Green,41,161,543,1018,579,260,193,169,155,158,184,231,297,236,122,73,62,45,36,11,0
Kensington (Olympia),0,0,72,149,145,112,89,117,117,149,141,150,123,67,69,46,31,28,6,0,0
Kentish Town,43,274,899,1710,1157,581,481,506,513,520,665,895,1496,1317,658,398,333,621,542,104,21
Kenton,89,403,461,397,204,135,99,99,107,119,244,264,240,181,102,73,55,36,18,4,0
Kew Gardens,27,217,795,978,446,256,234,258,270,305,413,578,551,445,306,240,193,100,43,8,0
Kilburn,181,612,1460,2446,1393,697,583,508,504,515,584,699,880,854,496,292,230,193,140,53,9
Kilburn Park,31,169,446,788,490,301,265,245,234,241,284,321,356,333,208,135,95,83,52,15,0
King's Cross St. Pancras,325,2167,8031,15257,12171,8279,7171,7073,6877,6933,7579,10539,14402,13633,8883,6302,5391,4266,2960,947,219
Kingsbury,222,1203,1298,1262,610,366,321,298,320,276,509,537,390,343,226,127,96,66,33,13,2
Knightsbridge,20,60,197,415,411,588,870,1228,1433,1638,2100,2765,3532,3335,2231,1240,1462,687,463,150,7
Ladbroke Grove,41,156,612,1091,650,387,403,460,490,457,632,885,1028,787,412,254,194,155,178,39,2
Lambeth North,19,70,199,438,380,286,242,269,282,305,376,537,622,471,279,190,206,114,80,26,0
Lancaster Gate,24,156,720,1469,1104,645,450,392,370,388,505,636,755,647,366,219,183,191,176,50,11
Latimer Road,21,75,250,412,258,149,143,166,166,182,227,349,630,490,239,162,126,87,30,7,0
Leicester Square,76,193,282,403,444,606,878,1271,1812,2332,2687,3215,4758,5082,3970,3790,4579,6719,4556,1578,298
Leyton,457,2226,3054,3182,1959,1032,863,734,731,752,769,906,995,856,597,430,352,294,124,34,11
Leytonstone,349,1422,2442,3165,1722,870,739,661,637,603,697,872,998,774,470,320,236,182,125,37,13
Liverpool Street,310,1934,6745,10889,7892,4974,4350,4654,4688,4722,5510,7962,14465,13342,6939,4343,2786,2403,1886,845,262
London Bridge,289,2216,7457,11822,8712,4978,4192,4619,4765,4810,5750,8425,12993,11810,6369,4135,3419,3215,2214,843,134
Loughton,123,483,1210,1185,475,257,208,191,172,171,290,256,329,197,106,67,47,41,23,8,1
Maida Vale,17,124,488,1032,554,273,238,235,208,208,296,358,395,316,226,163,112,82,53,9,0
Manor House,190,754,1505,2313,1614,796,623,548,520,522,550,649,763,657,422,299,232,192,132,50,13
Mansion House,6,21,89,189,210,226,288,416,449,494,642,1127,2438,2288,1101,555,398,294,220,50,0
Marble Arch,35,163,422,774,687,606,647,819,934,1151,1514,2097,2793,2614,1762,1413,1420,1500,660,216,19
Marylebone,2,424,1874,2982,1894,1355,1062,1021,847,750,915,1263,1971,1844,1009,587,410,435,216,55,0
Mile End,173,689,1705,3313,2143,1110,1055,1135,1233,1267,1510,2033,2316,1760,1129,770,577,453,305,114,25
Mill Hill East,8,131,483,487,146,71,58,76,81,67,180,234,226,100,46,35,15,20,12,2,0
Moor Park,15,96,337,325,86,45,42,42,46,47,148,209,173,88,24,13,11,6,6,0,0
Moorgate,37,155,426,755,725,707,939,1391,1511,1734,2389,4856,10938,9753,4390,2199,1552,1086,700,202,1
Morden,536,1622,3227,3389,1506,736,621,560,517,484,531,729,894,690,379,234,178,134,92,24,9
Mornington Crescent,10,57,160,324,262,191,208,261,276,287,409,735,1549,1170,490,284,300,420,289,81,20
Neasden,135,619,965,973,499,293,246,224,215,228,273,397,474,362,181,108,72,61,35,8,0
Newbury Park,391,1333,1728,1862,826,432,338,308,260,234,282,318,358,273,159,110,83,50,28,8,3
North Acton,82,356,761,1355,803,459,388,383,414,419,510,885,1576,1276,599,346,199,158,96,31,7
North Ealing,8,43,162,224,113,59,52,54,54,41,222,107,84,71,33,19,16,8,7,2,0
North Greenwich,706,2102,3580,5130,3160,1483,1214,1203,1235,1241,1696,2897,3108,2279,1265,986,1188,2530,2886,442,47
North Harrow,57,273,700,810,286,137,108,102,96,82,92,119,141,112,60,30,24,25,26,13,0
North Wembley,72,284,432,513,212,126,103,107,107,121,141,169,187,123,79,51,37,30,13,3,0
Northfields,106,398,1065,1262,599,289,241,203,200,184,283,439,502,354,154,77,59,45,32,13,4
Northolt,300,1078,1499,1426,742,434,336,309,297,251,311,332,370,281,179,108,84,59,33,5,2
Northwick Park,112,578,869,1037,461,279,260,294,341,323,449,695,785,463,268,222,138,72,34,11,0
Northwood,50,290,932,1188,459,276,222,182,155,147,274,518,344,227,120,66,47,34,21,6,2
Northwood Hills,57,290,653,695,271,154,132,117,123,123,205,166,164,114,64,38,32,27,19,6,0
Notting Hill Gate,63,366,1227,2539,1785,982,949,1047,1074,1129,1401,1924,2602,2352,1284,821,699,575,513,187,26
Oakwood,100,268,646,767,395,250,193,174,166,168,277,265,258,230,128,72,48,37,17,6,3
Old Street,45,349,988,2017,1783,1320,1392,1636,1748,1813,2345,3777,6360,6140,3254,2085,1844,1715,1459,568,0
Osterley,83,258,563,645,289,168,136,124,122,105,124,189,259,203,89,44,36,21,14,4,0
Oval,69,412,968,1555,1129,533,427,461,483,449,557,774,1243,1127,576,328,256,225,159,50,10
Oxford Circus,106,268,571,944,1429,2217,3193,4711,6142,7097,8819,11672,15614,16399,12638,9606,7609,6164,3982,1399,230
Paddington,138,1539,5826,10191,7759,5154,4034,3850,3308,3254,3723,4993,7638,6943,3895,2386,1675,1215,803,185,0
Park Royal,18,83,218,288,164,107,104,101,111,120,173,311,545,391,179,108,93,69,52,21,4
Parsons Green,40,316,1477,2382,997,445,401,425,398,371,565,746,1106,909,447,235,181,183,98,23,0
Perivale,67,378,691,713,349,182,145,132,141,137,150,213,356,262,115,65,54,36,20,6,0
Piccadilly Circus,45,125,243,377,563,860,1282,1859,2363,2929,3684,4670,7159,7868,5083,4253,4751,6074,3529,1237,178
Pimlico,39,275,854,1731,1276,757,657,774,814,838,1201,1889,2533,1918,945,567,418,295,194,51,9
Pinner,54,351,1498,1482,477,226,191,178,151,131,149,194,267,206,101,51,37,40,90,14,0
Plaistow,324,1055,1352,1462,945,509,423,375,367,355,450,526,561,442,276,182,125,105,65,14,0
Preston Road,102,621,1035,1412,694,369,262,234,201,170,211,222,228,201,132,69,50,56,28,10,0
Putney Bridge,39,242,887,1144,567,347,347,362,326,324,385,581,1008,785,336,176,137,129,119,22,0
Queen's Park,83,318,1024,1865,1053,490,410,387,363,362,390,484,622,595,321,201,147,121,82,22,0
Queensbury,300,1653,1421,1270,525,263,211,192,177,173,187,206,261,241,172,92,71,46,25,6,2
Queensway,28,164,518,1172,1105,845,622,551,563,596,709,854,931,850,582,438,355,340,371,107,14
Ravenscourt Park,19,101,364,664,367,214,193,175,180,185,374,787,641,464,207,121,122,92,59,9,0
Rayners Lane,147,624,1245,1462,668,355,286,265,221,217,257,325,309,249,146,90,64,54,31,11,0
Redbridge,131,491,764,962,474,254,198,173,154,142,149,185,232,184,101,55,46,33,26,6,2
Regent's Park,3,15,60,156,170,181,218,274,277,295,454,763,1048,826,352,233,153,97,62,16,0
Richmond,23,349,1411,2216,914,630,727,527,498,353,482,696,960,713,387,145,149,170,101,63,14
Rickmansworth,38,325,906,829,319,178,142,136,134,139,576,322,386,206,82,52,34,30,21,8,0
Roding Valley,4,66,234,132,37,24,15,20,13,10,19,17,6,13,3,2,2,6,4,2,0
Royal Oak,28,106,360,646,370,196,168,170,167,172,231,332,389,353,199,124,100,91,60,16,0
Ruislip,45,198,514,562,284,182,167,154,141,137,151,154,170,120,62,40,29,33,16,4,0
Ruislip Gardens,61,191,457,504,192,84,65,59,54,56,87,85,81,64,38,19,12,16,9,0,0
Ruislip Manor,49,264,606,707,277,163,140,125,117,119,265,197,156,126,69,39,28,26,18,9,0
Russell Square,26,98,256,603,863,802,680,798,961,1014,1412,2022,2606,2079,1375,1217,935,568,416,112,15
Seven Sisters,786,2753,3880,4215,2747,1415,1167,1054,1037,1014,1102,1348,1616,1325,858,590,489,380,256,103,25
Shepherd's Bush (Cen),121,772,2366,4738,2915,1278,1142,1211,1338,1457,1830,2444,3219,3329,2069,1403,1197,1397,1112,251,25
Shepherd's Bush (H&C),46,170,553,918,519,258,227,249,275,264,284,342,388,378,239,156,185,218,132,25,0
Sloane Square,55,357,1216,2323,1473,1010,1069,1281,1355,1493,2031,2860,3306,2945,1721,991,849,722,455,131,0
Snaresbrook,73,294,1016,1587,684,217,180,165,153,137,165,324,207,155,95,48,38,36,19,6,2
South Ealing,76,273,778,1058,567,262,236,236,235,220,259,337,431,353,179,110,92,72,42,15,3
South Harrow,118,338,546,563,275,167,146,136,135,125,143,183,192,145,88,56,38,35,21,6,0
South Kensington,69,408,1125,2369,1873,1344,1631,2295,2629,2942,4046,5781,6989,5527,2950,2398,2130,2106,1363,369,26
South Kenton,10,106,382,357,148,105,66,62,65,85,171,89,85,42,41,20,12,21,15,11,0
South Ruislip,72,330,693,679,283,145,105,91,85,85,99,140,204,151,76,39,31,29,16,0,0
South Wimbledon,100,405,1336,1919,683,268,236,242,244,231,275,396,618,532,277,157,116,110,84,28,8
South Woodford,106,414,1229,1965,924,406,308,263,223,189,218,294,369,309,156,97,74,66,43,18,4
Southfields,79,524,1771,2200,902,458,388,354,335,306,481,533,595,473,261,133,121,65,39,9,0
Southgate,142,579,1342,1663,802,460,397,373,335,321,396,462,543,379,222,143,115,91,50,12,6
Southwark,75,436,1349,2499,1764,906,814,1001,1058,1122,1596,2906,4496,3339,1558,944,840,655,523,173,29
St. James's Park,20,115,404,852,762,686,904,1260,1208,1345,2116,3842,5292,3689,1371,701,474,337,228,49,0
St. John's Wood,45,228,793,1597,959,519,483,532,522,559,807,1141,1361,1000,592,419,268,204,174,37,4
St. Paul's,12,79,185,349,506,671,937,1435,1480,1659,2147,3359,5114,4364,2439,1402,1020,818,570,201,42
Stamford Brook,29,137,544,816,375,201,174,179,156,146,181,279,415,358,177,116,77,58,38,8,0
Stanmore,131,517,1082,1171,460,279,234,210,198,181,249,367,451,307,143,76,53,43,25,8,3
Stepney Green,69,248,695,1321,865,487,450,454,491,520,689,884,1006,759,537,422,293,221,180,62,4
Stockwell,210,744,2421,5457,2469,856,652,606,572,571,632,796,1022,908,606,369,296,292,234,90,22
Stonebridge Park,113,403,648,642,284,172,143,138,154,164,192,249,341,277,147,80,65,62,30,11,0
Stratford,1414,5266,7411,8418,5139,3285,3424,3905,4510,5030,5712,7237,8147,6856,5305,4390,3706,2394,1189,352,65
Sudbury Hill,105,381,521,499,223,133,107,104,101,100,112,156,150,117,71,48,33,24,11,3,0
Sudbury Town,85,318,553,618,247,160,117,111,100,96,89,109,136,117,65,44,28,27,14,3,0
Swiss Cottage,60,262,928,1834,1098,598,483,504,523,497,666,1042,1169,946,629,398,358,261,211,56,8
Temple,7,32,79,146,208,305,441,633,720,825,1101,1754,2990,2678,1344,818,598,602,360,100,0
Theydon Bois,74,208,348,310,96,54,47,46,41,40,57,68,62,42,20,14,11,15,7,0,0
Tooting Bec,101,636,2179,3345,1421,549,462,430,386,363,421,564,683,564,385,252,178,140,101,37,12
Tooting Broadway,305,1353,3176,4470,2125,1035,948,963,941,940,1187,1610,1994,1487,973,693,480,382,239,78,23
Tottenham Court Road,51,144,369,770,986,1064,1443,2151,2715,3188,3986,5390,8547,9360,5553,4228,3819,5012,3174,1193,254
Tottenham Hale,201,1227,2699,3540,2317,1353,958,896,907,826,795,1065,1448,1255,806,601,460,308,240,54,6
Totteridge & Whetstone,59,279,810,1026,402,197,161,148,139,122,141,200,275,186,80,52,48,44,18,3,0
Tower Hill,86,943,2249,3341,2056,1223,1183,1363,1420,1577,1961,2920,4100,2960,1445,853,44,45,29,10,0
Tufnell Park,29,178,627,1269,816,390,296,271,273,224,272,286,344,336,238,140,116,187,157,37,7
Turnham Green,64,352,1189,1702,832,447,400,388,345,347,412,607,815,711,360,206,199,186,121,38,6
Turnpike Lane,360,1310,2111,2687,1697,940,769,675,656,648,664,727,795,708,455,281,229,203,135,43,12
Upminster,210,915,2102,2012,624,323,282,236,248,214,391,381,331,221,160,106,85,61,66,13,0
Upminster Bridge,59,200,381,323,88,64,63,96,115,120,160,194,69,37,18,14,12,11,6,0,0
Upney,218,621,731,782,419,239,193,162,157,163,191,192,217,152,88,51,44,36,15,2,0
Upton Park,535,1807,2019,2219,1396,782,662,612,630,652,764,829,836,610,402,248,182,128,57,10,0
Uxbridge,139,500,1156,1119,527,474,538,658,702,750,957,1553,2146,1299,613,324,207,145,80,21,0
Vauxhall,178,1252,3829,7033,5216,2456,1834,1843,1795,1808,2334,3773,6023,5004,2324,1223,903,802,589,214,38
Victoria,253,2598,7458,11207,9452,6856,6028,6041,5788,5613,6393,8600,12395,11176,6228,4018,3216,3358,2068,780,83
Walthamstow Central,232,921,1716,2499,1340,562,464,433,419,417,424,526,609,479,276,175,142,126,83,27,11
Wanstead,70,239,713,1088,491,257,216,192,170,147,189,218,246,199,111,69,61,55,43,13,2
Warren Street,30,130,342,736,749,725,927,1281,1451,1539,2203,4013,6798,5902,3139,2076,1540,1030,751,255,47
Warwick Avenue,23,174,621,1219,700,334,278,279,262,254,313,438,607,527,292,171,138,126,100,19,0
Waterloo,134,3645,17082,27623,16043,7686,5481,5307,4884,4518,5074,7410,11265,11371,6278,3662,3280,3178,2058,791,108
Watford,77,298,664,507,142,86,81,84,111,81,324,243,228,150,69,44,27,23,11,3,0
Wembley Central,165,691,1069,1141,561,416,374,391,446,468,487,579,663,526,347,256,156,134,89,18,0
Wembley Park,315,1334,2330,2941,1686,1151,997,1037,1047,1088,1337,1907,2525,1741,911,627,489,755,456,99,16
West Acton,33,135,392,558,298,133,112,108,107,92,173,149,193,123,63,33,27,13,10,2,2
West Brompton,27,200,606,788,614,350,306,337,365,448,1150,1348,1460,872,398,200,198,209,93,17,2
West Finchley,23,160,579,804,346,144,109,87,81,72,79,95,117,104,52,24,22,13,7,2,0
West Ham,204,562,868,1051,565,310,264,245,255,258,319,406,398,352,270,195,165,137,72,26,6
West Hampstead,83,621,2433,4660,2365,973,686,639,600,603,660,945,1529,1629,834,412,300,273,235,87,11
West Harrow,45,236,463,523,199,113,78,72,64,49,66,79,111,72,38,24,22,14,13,4,0
West Kensington,72,234,707,1196,673,441,381,379,389,390,450,570,811,665,358,200,162,140,101,23,0
West Ruislip,47,198,508,570,280,151,117,94,95,82,84,137,148,125,64,43,26,27,15,0,0
Westbourne Park,52,200,613,1061,625,327,294,288,300,280,335,504,630,590,270,167,133,105,79,25,0
Westminster,55,154,323,687,729,866,1303,1986,2244,2491,3353,5136,6636,4996,2451,1657,1300,1031,616,165,18
White City,72,253,632,1076,650,361,363,435,466,508,838,1599,2653,2303,925,517,460,371,145,42,6
