Index,Gender,Size,Height
196,M,9.5,65
197,M,12,65
198,M,9,66
199,M,9.5,66
200,M,9.5,66
201,M,10.5,66
202,M,11,66
203,M,12,66
204,M,10,66
205,M,9,66
206,M,10,67
207,M,11,67
208,M,7,67.32
209,M,8,68
210,M,9,68
211,M,9,68
212,M,9,68
213,M,9.5,68
214,M,10,68
215,M,10,68
216,M,10,68
217,M,10,68
218,M,10,68
219,M,10.5,68
220,M,10.5,68
221,M,11,68
222,M,11,68
223,M,11,68
224,M,11,68
225,M,10,68
226,M,9,68
227,M,9,69
228,M,9,69
229,M,9.5,69
230,M,9.5,69
231,M,10,69
232,M,10,69
233,M,10,69
234,M,10.5,69
235,M,10.5,69
236,M,11,69
237,M,11,69
238,M,11,69
239,M,11,69
240,M,11,69
241,M,11,69
242,M,11,69
243,M,11,69
244,M,11,69
245,M,11.5,69
246,M,11.5,69
247,M,11.5,69
248,M,12,69
249,M,12,69
250,M,10.5,69
251,M,11,69
252,M,9,70
253,M,9,70
254,M,9.5,70
255,M,9.5,70
256,M,10,70
257,M,10,70
258,M,10,70
259,M,10,70
260,M,10,70
261,M,10,70
262,M,10,70
263,M,10.5,70
264,M,10.5,70
265,M,10.5,70
266,M,10.5,70
267,M,11,70
268,M,11,70
269,M,11,70
270,M,11,70
271,M,11,70
272,M,11,70
273,M,11,70
274,M,11,70
275,M,11,70
276,M,11,70
277,M,11,70
278,M,11,70
279,M,11,70
280,M,11,70
281,M,11,70
282,M,11.5,70
283,M,12,70
284,M,12,70
285,M,10.5,70
286,M,11,70
287,M,12,70
288,M,10.5,71
289,M,10.5,71
290,M,10.5,71
291,M,11,71
292,M,11,71
293,M,11,71
294,M,11,71
295,M,11,71
296,M,11,71
297,M,11,71
298,M,11,71
299,M,11,71
300,M,11,71
301,M,11,71
302,M,11.5,71
303,M,11.5,71
304,M,11.5,71
305,M,11.5,71
306,M,12,71
307,M,12,71
308,M,12.5,71
309,M,11,71
310,M,11,71
311,M,10,72
312,M,10,72
313,M,10.5,72
314,M,10.5,72
315,M,11,72
316,M,11,72
317,M,11,72
318,M,11,72
319,M,11,72
320,M,11,72
321,M,11,72
322,M,11.5,72
323,M,11.5,72
324,M,12,72
325,M,12,72
326,M,12,72
327,M,12,72
328,M,12,72
329,M,12,72
330,M,12,72
331,M,12.5,72
332,M,12.5,72
333,M,13,72
334,M,13,72
335,M,11,72
336,M,11.5,72
337,M,11.5,72
338,M,12,72
339,M,10.5,73
340,M,10.5,73
341,M,10.5,73
342,M,10.5,73
343,M,11,73
344,M,11,73
345,M,11,73
346,M,11,73
347,M,11.5,73
348,M,11.5,73
349,M,11.5,73
350,M,12,73
351,M,12,73
352,M,12,73
353,M,12,73
354,M,12,73
355,M,12,73
356,M,13,73
357,M,13,73
358,M,13,73
359,M,13,73
360,M,13,73
361,M,14,73
362,M,11,73
363,M,12,73
364,M,12,73
365,M,9.5,74
366,M,9.5,74
367,M,12,74
368,M,12,74
369,M,12,74
370,M,13,74
371,M,13,74
372,M,13,74
373,M,12,74
374,M,11.5,75
375,M,12,75
376,M,12,75
377,M,12,75
378,M,12,75
379,M,12,75
380,M,12.5,75
381,M,13,75
382,M,13,75
383,M,13,75
384,M,13.5,75
385,M,14,75
386,M,14,75
387,M,14,75
388,M,15,75
389,M,13,75
390,M,13,75
391,M,12,75
392,M,12,76
393,M,13,76
394,M,13,76
395,M,13,76
396,M,14,76
397,M,15,76
398,M,15,76
399,M,15,76
400,M,14,77
401,M,15,77
402,M,15,77
403,M,15,77
404,M,13,78
405,M,13,78
406,M,14,78
407,M,15,80
408,M,15,81
