STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY, TOTAL_COST , TOTAL_COST ,SHIP_DATE
IN,"WRENCH,TORQUE      ",5120011344362,3, 209.27 , $627.81 ,18/01/2012
AL,"WRENCH,TORQUE      ",5120013944284,5,114.80, $574.00 ,03/10/2011
MI,"WRENCH,TORQUE      ",5120002306380,5, 111.03 , $555.15 ,22/02/2012
RI,"WRENCH,TORQUE      ",5120002306380,5, 111.03 , $555.15 ,22/02/2012
AL,"WRENCH,TORQUE      ",5120014394397,1, 501.82 , $501.82 ,12/01/2012
ME,"WRENCH,TORQUE      ",5120011183679,2, 241.73 , $483.46 ,23/07/2012
KY,"WRENCH,TORQUE      ",5120011183679,2, 230.21 , $460.42 ,16/02/2012
AZ,"WRENCH,TORQUE      ",5120002217983,2, 229.80 , $459.60 ,30/04/2012
CO,"WRENCH,TORQUE      ",5120002217983,2, 229.80 , $459.60 ,07/06/2012
AL,"WRENCH,TORQUE      ",5120002217983,2,229.28, $458.56 ,02/12/2011
WV,"WRENCH,TORQUE      ",5120002217983,2,229.28, $458.56 ,30/12/2011
AL,"WRENCH,TORQUE      ",5120013880960,2, 224.08 , $448.16 ,16/04/2012
IN,"WRENCH,TORQUE      ",5120002423263,1,446.60, $446.60 ,08/11/2011
TN,"WRENCH,TORQUE      ",5120002306380,4, 111.03 , $444.12 ,22/02/2012
AL,"WRENCH,TORQUE      ",5120005551521,1, 429.35 , $429.35 ,07/06/2012
AL,"WRENCH,TORQUE      ",5120005551521,1,423.82, $423.82 ,21/11/2011
IN,"WRENCH,TORQUE      ",5120013551742,1, 397.80 , $397.80 ,24/01/2012
MI,"WRENCH,TORQUE      ",5120013551742,1, 397.80 , $397.80 ,20/06/2012
AL,"WRENCH,TORQUE      ",5120011139564,1, 397.24 , $397.24 ,18/05/2012
AL,"WRENCH,TORQUE      ",5120011139564,1, 397.24 , $397.24 ,18/06/2012
AL,"WRENCH,TORQUE      ",5120011139564,1, 397.24 , $397.24 ,21/06/2012
AL,"WRENCH,TORQUE      ",5120014308540,1, 385.48 , $385.48 ,19/01/2012
AZ,"WRENCH,TORQUE      ",5120014308540,1, 385.48 , $385.48 ,27/05/2012
DE,"WRENCH,TORQUE      ",5120014308540,1, 385.48 , $385.48 ,06/06/2012
KY,"WRENCH,TORQUE      ",5120011151723,1, 368.89 , $368.89 ,16/02/2012
AL,"WRENCH,TORQUE      ",5120013966072,1, 360.48 , $360.48 ,11/07/2012
GA,"WRENCH,TORQUE      ",5120013966072,1,360.48, $360.48 ,23/11/2011
GA,"WRENCH,TORQUE      ",5120013966072,1,360.48, $360.48 ,02/12/2011
MI,"WRENCH,TORQUE      ",5120013966076,1, 360.48 , $360.48 ,29/03/2012
SC,"WRENCH,TORQUE      ",5120013966076,1, 360.48 , $360.48 ,05/04/2012
TN,"WRENCH,TORQUE      ",5120013966076,1, 360.48 , $360.48 ,29/03/2012
CA,"WRENCH,TORQUE      ",5120013551763,2, 179.34 , $358.68 ,07/02/2012
AL,"WRENCH,TORQUE      ",5120013551824,1, 351.36 , $351.36 ,12/01/2012
CA,"WRENCH,TORQUE      ",5120006406364,3, 114.34 , $343.02 ,23/02/2012
TN,"WRENCH,TORQUE      ",5120006406364,3, 114.34 , $343.02 ,26/04/2012
CA,"WRENCH,TORQUE      ",5120013390369,2, 164.67 , $329.34 ,13/04/2012
IN,"WRENCH,TORQUE      ",5120013551734,2, 164.67 , $329.34 ,18/01/2012
GA,"WRENCH,TORQUE      ",5120007201975,1,316.57, $316.57 ,23/11/2011
AL,"WRENCH,TORQUE      ",5120004308889,3, 94.30 , $282.90 ,06/01/2012
AL,"WRENCH,TORQUE      ",5120000015583,1, 275.84 , $275.84 ,04/01/2012
AZ,"WRENCH,TORQUE      ",5120009001283,3, 86.52 , $259.56 ,21/08/2012
WA,"WRENCH,TORQUE      ",5120013965682,2, 129.46 , $258.92 ,05/07/2012
CA,"WRENCH,TORQUE      ",5120011183679,1, 241.73 , $241.73 ,13/04/2012
NM,"WRENCH,TORQUE      ",5120006406365,2, 117.21 , $234.42 ,30/07/2012
AL,"WRENCH,TORQUE      ",5120011183679,1, 230.21 , $230.21 ,03/04/2012
KY,"WRENCH,TORQUE      ",5120011183679,1, 230.21 , $230.21 ,16/02/2012
OH,"WRENCH,TORQUE      ",5120011183679,1, 230.21 , $230.21 ,17/02/2012
CA,"WRENCH,TORQUE      ",5120002217983,1, 229.80 , $229.80 ,01/08/2012
TN,"WRENCH,TORQUE      ",5120002217983,1, 229.80 , $229.80 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120002217983,1, 229.80 , $229.80 ,21/06/2012
AZ,"WRENCH,TORQUE      ",5120002217983,1,229.28, $229.28 ,02/11/2011
CA,"WRENCH,TORQUE      ",5120002217983,1,229.28, $229.28 ,22/12/2011
GA,"WRENCH,TORQUE      ",5120002217983,1,229.28, $229.28 ,23/11/2011
GA,"WRENCH,TORQUE      ",5120002217983,1,229.28, $229.28 ,23/11/2011
TX,"WRENCH,TORQUE      ",5120002217983,1,229.28, $229.28 ,24/10/2011
TX,"WRENCH,TORQUE      ",5120002217983,1, 229.28 , $229.28 ,21/03/2012
OH,"WRENCH,TORQUE      ",5120006406364,2,114.34, $228.68 ,22/11/2011
AL,"WRENCH,TORQUE      ",5120010420982,2,112.56, $225.12 ,19/10/2011
CA,"WRENCH,TORQUE      ",5120002306380,2, 111.03 , $222.06 ,23/02/2012
GA,"WRENCH,TORQUE      ",5120002306380,2, 111.03 , $222.06 ,22/02/2012
GA,"WRENCH,TORQUE      ",5120002306380,2, 111.03 , $222.06 ,29/02/2012
AL,"WRENCH,TORQUE      ",5120005858434,2, 110.26 , $220.52 ,06/01/2012
TN,"WRENCH,TORQUE      ",5120001695776,1, 213.67 , $213.67 ,21/06/2012
CO,"WRENCH,TORQUE      ",5120013741928,2, 104.92 , $209.84 ,10/04/2012
AL,"WRENCH,TORQUE      ",5120011344362,1, 209.27 , $209.27 ,12/01/2012
TN,"WRENCH,TORQUE      ",5120004565961,1, 205.80 , $205.80 ,21/06/2012
CA,"WRENCH,TORQUE      ",5120013551739,1, 187.71 , $187.71 ,13/04/2012
TN,"WRENCH,TORQUE      ",5120009586906,1, 187.53 , $187.53 ,21/06/2012
KY,"WRENCH,TORQUE      ",5120014308547,2, 91.20 , $182.40 ,27/07/2012
CA,"WRENCH,TORQUE      ",5120013551781,1, 175.24 , $175.24 ,29/02/2012
CA,"WRENCH,TORQUE      ",5120013551781,1, 175.24 , $175.24 ,29/02/2012
AL,"WRENCH,TORQUE      ",5120012417578,1,166.81, $166.81 ,16/11/2011
AL,"WRENCH,TORQUE      ",5120012417578,1, 166.81 , $166.81 ,12/01/2012
AL,"WRENCH,TORQUE      ",5120013551734,1, 164.67 , $164.67 ,12/01/2012
TN,"WRENCH,TORQUE      ",5120013390369,1, 164.67 , $164.67 ,21/06/2012
TX,"WRENCH,TORQUE      ",5120013390369,1, 164.67 , $164.67 ,18/07/2012
AL,"WRENCH,TORQUE      ",5120014513254,1, 163.00 , $163.00 ,31/07/2012
CA,"WRENCH,TORQUE      ",5120012738962,1, 157.78 , $157.78 ,22/03/2012
TN,"WRENCH,TORQUE      ",5120011124843,1, 157.75 , $157.75 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013741931,1, 155.64 , $155.64 ,21/06/2012
CA,"WRENCH,TORQUE      ",5120013551779,1, 155.02 , $155.02 ,22/03/2012
AL,"WRENCH,TORQUE      ",5120010752597,1, 151.43 , $151.43 ,18/05/2012
CA,"WRENCH,TORQUE      ",5120013390368,1, 145.44 , $145.44 ,05/06/2012
TN,"WRENCH,TORQUE      ",5120014000232,1, 143.03 , $143.03 ,21/06/2012
AL,"WRENCH,TORQUE      ",5120006406365,1,142.02, $142.02 ,27/10/2011
KY,"WRENCH,TORQUE      ",5120013966075,1, 134.66 , $134.66 ,27/07/2012
TN,"WRENCH,TORQUE      ",5120013551732,1, 133.12 , $133.12 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013965682,1, 129.46 , $129.46 ,21/06/2012
WA,"WRENCH,TORQUE      ",5120013965682,1, 129.46 , $129.46 ,16/07/2012
DE,"WRENCH,TORQUE      ",5120015503560,1, 128.79 , $128.79 ,06/06/2012
DE,"WRENCH,TORQUE      ",5120015503560,1, 128.79 , $128.79 ,06/06/2012
TN,"WRENCH,TORQUE      ",5120015302311,1, 126.24 , $126.24 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120015302311,1, 126.24 , $126.24 ,21/06/2012
CA,"WRENCH,TORQUE      ",5120013741936,1, 123.93 , $123.93 ,07/02/2012
TN,"WRENCH,TORQUE      ",5120013741936,1, 123.86 , $123.86 ,21/06/2012
UT,"WRENCH,TORQUE      ",5120013741938,1, 123.86 , $123.86 ,19/03/2012
TN,"WRENCH,TORQUE      ",5120000013733,1, 122.26 , $122.26 ,21/06/2012
WA,"WRENCH,TORQUE      ",5120000013733,1, 122.26 , $122.26 ,06/06/2012
TN,"WRENCH,TORQUE      ",5120013512048,1, 121.79 , $121.79 ,21/06/2012
WV,"WRENCH,TORQUE      ",5120006406365,1, 117.21 , $117.21 ,16/07/2012
AZ,"WRENCH,TORQUE      ",5120013944277,1, 115.50 , $115.50 ,25/04/2012
AZ,"WRENCH,TORQUE      ",5120013944277,1, 115.50 , $115.50 ,25/04/2012
AL,"WRENCH,TORQUE      ",5120006406364,1,114.34, $114.34 ,03/11/2011
AZ,"WRENCH,TORQUE      ",5120006406364,1, 114.34 , $114.34 ,25/04/2012
CA,"WRENCH,TORQUE      ",5120006406364,1, 114.34 , $114.34 ,09/03/2012
GA,"WRENCH,TORQUE      ",5120006406364,1,114.34, $114.34 ,01/11/2011
KY,"WRENCH,TORQUE      ",5120006406364,1,114.34, $114.34 ,08/12/2011
KY,"WRENCH,TORQUE      ",5120006406364,1, 114.34 , $114.34 ,27/07/2012
TN,"WRENCH,TORQUE      ",5120006406364,1, 114.34 , $114.34 ,21/06/2012
DE,"WRENCH,TORQUE      ",5120010420982,1, 112.56 , $112.56 ,16/03/2012
KY,"WRENCH,TORQUE      ",5120010420982,1, 112.56 , $112.56 ,16/02/2012
AL,"WRENCH,TORQUE      ",5120002306380,1,111.03, $111.03 ,03/11/2011
GA,"WRENCH,TORQUE      ",5120002306380,1,111.03, $111.03 ,01/11/2011
GA,"WRENCH,TORQUE      ",5120002306380,1,111.03, $111.03 ,23/11/2011
GA,"WRENCH,TORQUE      ",5120002306380,1, 111.03 , $111.03 ,29/02/2012
IL,"WRENCH,TORQUE      ",5120002306380,1, 111.03 , $111.03 ,29/02/2012
TN,"WRENCH,TORQUE      ",5120002306380,1, 109.71 , $109.71 ,21/06/2012
WV,"WRENCH,TORQUE      ",5120002306380,1, 109.71 , $109.71 ,12/04/2012
TN,"WRENCH,TORQUE      ",5120013966071,1, 105.13 , $105.13 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013741928,1, 104.92 , $104.92 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013741928,1, 104.92 , $104.92 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013965955,1, 104.71 , $104.71 ,21/06/2012
AL,"WRENCH,TORQUE      ",5120013944255,1, 101.50 , $101.50 ,17/05/2012
AL,"WRENCH,TORQUE      ",5120000229786,1, 98.80 , $98.80 ,17/05/2012
TN,"WRENCH,TORQUE      ",5120011332347,1, 96.28 , $96.28 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013741932,1, 95.72 , $95.72 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013741932,1, 95.72 , $95.72 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120013741932,1, 95.72 , $95.72 ,21/06/2012
SC,"WRENCH,TORQUE      ",5120013966074,1, 95.53 , $95.53 ,22/03/2012
TX,"WRENCH,TORQUE      ",5120007761841,1, 95.26 , $95.26 ,28/06/2012
CA,"WRENCH,TORQUE      ",5120001174832,1, 93.98 , $93.98 ,01/08/2012
TN,"WRENCH,TORQUE      ",5120001174832,1, 93.98 , $93.98 ,21/06/2012
TN,"WRENCH,TORQUE      ",5120001174832,1, 93.98 , $93.98 ,21/06/2012
AZ,"WRENCH,TORQUE      ",5120014308547,1, 91.20 , $91.20 ,25/04/2012
TX,"WRENCH,TORQUE      ",5120002472540,2, 45.11 , $90.22 ,11/05/2012
AL,"WRENCH,TORQUE      ",5120002306380,1,89.62, $89.62 ,27/10/2011
GU,"WRENCH,TAP AND REAM",5120002890539,7,25.66, $179.62 ,04/10/2011
CA,"WRENCH,TAP AND REAM",5120002774065,1, 36.14 , $36.14 ,01/08/2012
CA,"WRENCH,STRAP       ",5120013349858,6, 18.72 , $112.32 ,05/07/2012
MA,"WRENCH,SPECIAL     ",5120007690684,1, 911.65 , $911.65 ,02/08/2012
AL,"WRENCH,SPECIAL     ",5120009455033,1,19.93, $19.93 ,14/12/2011
TN,"WRENCH,SPANNER     ",5120001040057,1, 3964.16 ," $3,964.16 ",16/05/2012
MI,"WRENCH,SPANNER     ",5120014125333,2, 500.00 ," $1,000.00 ",28/03/2012
MI,"WRENCH,SPANNER     ",5120010957451,4, 209.44 , $837.76 ,29/03/2012
CA,"WRENCH,SPANNER     ",5120005007793,1,425.43, $425.43 ,05/10/2011
TX,"WRENCH,SPANNER     ",5120002779076,21, 14.08 , $295.68 ,12/01/2012
CA,"WRENCH,SPANNER     ",5120013738832,2, 142.10 , $284.20 ,16/05/2012
CA,"WRENCH,SPANNER     ",5120003451441,2, 120.70 , $241.40 ,01/08/2012
GU,"WRENCH,SPANNER     ",5120007679099,1,173.25, $173.25 ,04/10/2011
MI,"WRENCH,SPANNER     ",5120006704373,1, 170.40 , $170.40 ,29/03/2012
AL,"WRENCH,SPANNER     ",5120014799220,5,33.08, $165.40 ,02/11/2011
CA,"WRENCH,SPANNER     ",5120003451448,1, 120.70 , $120.70 ,01/08/2012
OH,"WRENCH,SPANNER     ",5120014158266,1, 95.14 , $95.14 ,19/07/2012
TX,"WRENCH,SPANNER     ",5120002779076,5, 13.10 , $65.50 ,22/02/2012
GU,"WRENCH,SPANNER     ",5120004737761,1,51.48, $51.48 ,04/10/2011
MI,"WRENCH,SOCKET      ",5120003169217,5, 50.48 , $252.40 ,07/03/2012
MI,"WRENCH,SOCKET      ",5120002932452,6, 28.42 , $170.52 ,30/05/2012
GA,"WRENCH,SOCKET      ",5120015143465,3, 54.81 , $164.43 ,28/03/2012
CA,"WRENCH,SOCKET      ",5120007950664,1, 120.67 , $120.67 ,06/07/2012
MI,"WRENCH,SOCKET      ",5120013329496,1, 110.47 , $110.47 ,04/05/2012
TN,"WRENCH,SOCKET      ",5120003169217,2, 50.48 , $100.96 ,29/03/2012
IL,"WRENCH,SOCKET      ",5120002931289,3, 33.35 , $100.05 ,06/06/2012
MI,"WRENCH,SOCKET      ",5120002931289,3, 33.35 , $100.05 ,06/06/2012
MI,"WRENCH,SOCKET      ",5120002931289,3, 33.35 , $100.05 ,06/06/2012
GU,"WRENCH,SOCKET      ",5120002034766,1, 88.79 , $88.79 ,29/06/2012
GU,"WRENCH,SOCKET      ",5120005413186,2, 34.79 , $69.58 ,18/06/2012
AL,"WRENCH,SOCKET      ",5120002931289,2, 33.35 , $66.70 ,06/06/2012
GA,"WRENCH,SOCKET      ",5120003169217,1, 50.48 , $50.48 ,09/03/2012
TX,"WRENCH,SOCKET      ",5120012481797,1, 33.09 , $33.09 ,22/02/2012
AL,"WRENCH,SOCKET      ",5120002932452,1, 28.42 , $28.42 ,30/05/2012
OH,"WRENCH,RATCHET,PNEU",5130012299780,1, 93.30 , $93.30 ,19/07/2012
CA,"WRENCH,RATCHET     ",5120006507830,4, 130.25 , $521.00 ,01/08/2012
AL,"WRENCH,RATCHET     ",5120003943963,3, 115.00 , $345.00 ,25/01/2012
RI,"WRENCH,RATCHET     ",5120014296964,13, 25.52 , $331.76 ,20/01/2012
TX,"WRENCH,RATCHET     ",5120011173604,5, 31.95 , $159.75 ,22/02/2012
CA,"WRENCH,RATCHET     ",5120006507830,1, 130.25 , $130.25 ,22/08/2012
IN,"WRENCH,RATCHET     ",5120014296964,5, 25.52 , $127.60 ,18/01/2012
IN,"WRENCH,RATCHET     ",5120003943963,1, 115.00 , $115.00 ,27/01/2012
CO,"WRENCH,RATCHET     ",5120014296964,3, 25.52 , $76.56 ,13/03/2012
AL,"WRENCH,RATCHET     ",5120011173604,2,31.95, $63.90 ,02/12/2011
GA,"WRENCH,RATCHET     ",5120011173604,2,31.95, $63.90 ,23/11/2011
AL,"WRENCH,RATCHET     ",5120014296964,2, 25.52 , $51.04 ,12/01/2012
IN,"WRENCH,RATCHET     ",5120007772782,2,17.54, $35.08 ,25/10/2011
MS,"WRENCH,RATCHET     ",5120014296964,1, 25.52 , $25.52 ,25/01/2012
TX,"WRENCH,PLIER       ",5120002774244,110, 7.37 , $810.70 ,10/08/2012
CA,"WRENCH,PLIER       ",5120013684174,56, 10.01 , $560.56 ,17/05/2012
TX,"WRENCH,PLIER       ",5120004941911,34, 7.99 , $271.66 ,10/08/2012
CO,"WRENCH,PLIER       ",5120004941911,10, 9.27 , $92.70 ,25/01/2012
CO,"WRENCH,PLIER       ",5120004941911,10, 9.27 , $92.70 ,16/02/2012
CO,"WRENCH,PLIER       ",5120002774244,10, 7.50 , $75.00 ,26/01/2012
CO,"WRENCH,PLIER       ",5120002774244,10, 7.50 , $75.00 ,16/02/2012
AL,"WRENCH,PLIER       ",5120002774244,9, 7.37 , $66.33 ,07/06/2012
CO,"WRENCH,PLIER       ",5120004941911,6, 9.27 , $55.62 ,24/01/2012
AZ,"WRENCH,PLIER       ",5120004941911,6, 7.99 , $47.94 ,13/08/2012
CO,"WRENCH,PLIER       ",5120004941911,5, 9.27 , $46.35 ,13/03/2012
NM,"WRENCH,PLIER       ",5120004941911,5, 9.27 , $46.35 ,07/03/2012
CO,"WRENCH,PLIER       ",5120002774244,6, 7.50 , $45.00 ,24/01/2012
CO,"WRENCH,PLIER       ",5120002774244,6, 7.50 , $45.00 ,24/01/2012
AZ,"WRENCH,PLIER       ",5120002774244,6, 7.37 , $44.22 ,13/08/2012
CO,"WRENCH,PLIER       ",5120002774244,5, 7.50 , $37.50 ,23/01/2012
